date,avg_sentiment,comment_count,dominant_sentiment
2024-09-12,0.19741636363636364,55,positive
2024-09-13,0.30993695652173914,46,positive
2024-09-16,0.1660311475409836,61,positive
2024-09-17,0.31514722222222225,36,positive
2024-09-18,0.2457478260869565,46,positive
2024-09-19,0.18132432432432433,37,positive
2024-09-20,0.2500636363636364,22,positive
2024-09-23,0.3033896551724138,29,positive
2024-09-24,0.19833749999999997,24,positive
2024-09-25,0.099756,25,positive
2024-09-26,0.3227203703703704,54,positive
2024-09-27,0.20654666666666668,60,positive
2024-09-30,0.13421428571428573,77,positive
2024-10-01,0.3659231155778894,199,positive
2024-10-02,0.2837644444444445,45,positive
2024-10-03,0.27143114754098363,61,positive
2024-10-04,0.30784533333333336,75,positive
2024-10-07,0.020561142857142858,175,positive
2024-10-08,0.07156386554621849,119,positive
2024-10-09,0.23908333333333331,48,positive
2024-10-10,0.15685217391304349,46,positive
2024-10-11,0.341022641509434,53,positive
2024-10-14,0.2928951219512195,41,positive
2024-10-15,-0.013337241379310348,145,neutral
2024-10-16,-0.000323300970873781,103,neutral
2024-10-17,0.14531184210526316,76,positive
2024-10-18,0.30903953488372093,86,positive
2024-10-21,0.16658039215686274,51,positive
2024-10-22,0.18795833333333334,48,positive
2024-10-23,0.25284545454545454,44,positive
2024-10-24,0.3237236363636364,55,positive
2024-10-25,0.27190416666666667,48,positive
2024-10-28,0.32096046511627907,43,positive
2024-10-29,0.23039032258064515,62,positive
2024-10-30,0.17256315789473686,38,positive
2024-10-31,0.2492090909090909,77,positive
2024-11-01,0.24313134328358207,67,positive
2024-11-04,0.29544054054054053,37,positive
2024-11-05,0.17262000000000002,30,positive
2024-11-06,0.11314905660377358,53,neutral
2024-11-07,0.36024189189189193,74,positive
2024-11-08,0.24199384615384614,65,positive
2024-11-11,0.18108695652173912,69,positive
2024-11-12,0.2890727272727273,66,positive
2024-11-13,0.27108709677419357,62,positive
2024-11-14,0.089775,72,positive
2024-11-15,0.1596575,80,positive
2024-11-18,0.11699903846153846,104,positive
2024-11-19,0.2264625,136,positive
2024-11-20,0.12313100775193798,129,positive
2024-11-21,0.2554623188405797,138,positive
2024-11-22,0.16855,154,positive
2024-11-25,0.21517303370786517,89,positive
2024-11-26,0.22933015873015872,126,positive
2024-11-27,0.16228510638297872,141,positive
2024-11-29,0.2934456790123457,81,positive
2024-12-02,0.19618235294117647,102,positive
2024-12-03,0.25716222222222224,180,positive
2024-12-04,0.26640326086956523,184,positive
2024-12-05,0.19372734375,128,positive
2024-12-06,0.2337,137,positive
2024-12-09,0.2524889830508475,118,positive
2024-12-10,0.1832006329113924,158,positive
2024-12-11,0.2752867256637168,113,positive
2024-12-12,0.2092389534883721,172,positive
2024-12-13,0.1984801204819277,166,positive
2024-12-16,0.2094327731092437,119,positive
2024-12-17,0.2452462962962963,162,positive
2024-12-18,0.21211285714285716,140,positive
2024-12-19,0.17662521008403362,119,positive
2024-12-20,0.14170487804878049,82,positive
2024-12-23,0.16081037735849057,106,positive
2024-12-24,0.1844292682926829,123,positive
2024-12-26,0.21837575757575756,99,positive
2024-12-27,0.20301549295774649,71,positive
2024-12-30,0.2631,90,positive
2024-12-31,0.24267727272727274,110,positive
2025-01-02,0.22028522727272729,88,positive
2025-01-03,0.1802256880733945,109,positive
2025-01-06,0.12878470588235294,170,positive
2025-01-07,0.13284339622641508,159,positive
2025-01-08,0.15505833333333333,156,positive
2025-01-10,0.1177973544973545,189,positive
2025-01-13,0.25594944444444445,180,positive
2025-01-14,0.169623125,160,positive
2025-01-15,0.15597557251908398,131,positive
2025-01-16,0.09966878306878309,189,positive
2025-01-17,0.11719565217391305,161,positive
2025-01-21,0.17829729729729732,74,neutral
