Date,Close,High,Low,Open,Volume,EMA_10,SMA_10,MACD,MACD_Signal,RSI,date,avg_sentiment,comment_count,dominant_sentiment
2024-03-01,82.24810791015625,82.26910374751212,79.40517391258761,79.96996422541928,479135000,82.24810791015625,,0.0,0.0,,2024-03-01,0.43414,10,positive
2024-03-04,85.20499420166016,87.66207143981877,83.68756644704014,84.09840760734,615616000,82.7857235995206,,0.2358769691228133,0.047175393824562664,,2024-03-04,0.2360972222222222,72,positive
2024-03-05,85.93576049804688,86.06872004565462,83.38960003379123,85.24198821051228,520639000,83.35845758107082,,0.4762875529721242,0.13299782565407497,,2024-03-05,0.282995,60,positive
2024-03-06,88.67086029052734,89.69452599594824,87.00141069166892,87.99308922719804,582520000,84.32434898279018,,0.8774002439582347,0.2818783093149069,,2024-03-06,0.3276659090909091,44,positive
2024-03-07,92.6385498046875,92.73651717702312,89.57255620841083,90.12837327546654,608119000,85.83602185949877,,1.498174305046092,0.525137508461144,,2024-03-07,0.2603103448275862,87,positive
2024-03-08,87.49925231933594,97.36801162259307,86.47758481062256,95.10675351305797,1142269000,86.13842739765097,,1.5574900884908942,0.7316080244670942,,2024-03-08,0.2497576923076923,78,positive
2024-03-11,85.74583435058594,88.7678366102768,84.13836070078284,86.40061803177863,678364000,86.06704684363913,,1.4463395955232698,0.8745543386783293,,2024-03-11,0.2476326086956521,46,positive
2024-03-12,91.8828125,91.92979413377265,86.12170491240781,88.02008324614344,668075000,87.12445878115928,,1.8323328839432236,1.0661100477313084,,2024-03-12,0.397115909090909,44,positive
2024-03-13,90.85813903808594,91.47393396528192,88.40594204784502,91.02508398682748,635713000,87.80330973696411,,2.0321276584335806,1.2593135698717628,,2024-03-13,0.1183840425531914,94,neutral
2024-03-14,87.91510772705078,90.61622350841212,86.57154750613068,89.54757446626068,602318000,87.82363664425259,87.85994186401368,1.930732147442498,1.3935972853859098,,2024-03-14,0.0367090909090909,44,neutral
2024-03-15,87.80813598632812,89.51657406692517,86.22866094849327,86.90143633231817,642086000,87.82081834281178,88.41594467163085,1.820755216238652,1.4790288715564583,,2024-03-15,0.1136249999999999,24,neutral
2024-03-18,88.42594909667969,92.37464868231102,87.05639632268333,90.35831286729302,668976000,87.9308421162423,88.73804016113282,1.7631258434290515,1.5358482659309771,,2024-03-18,0.2249577777777777,45,positive
2024-03-19,89.36863708496094,90.51425674084176,84.98207797118587,86.67151765212044,672171000,88.19225938328205,89.08132781982422,1.7730822046128765,1.5832950536673571,,2024-03-19,0.3394197183098592,71,positive
2024-03-20,90.34231567382812,90.38030520484318,88.19401951660328,89.76749997737916,479063000,88.58317870883587,89.2484733581543,1.8383490735455865,1.6343058576430032,63.4773219240033,2024-03-20,0.3233092105263158,76,positive
2024-03-21,91.40496063232422,92.61756721905256,90.37530021359188,92.26968196617383,480372000,89.09622996765192,89.12511444091797,1.95330363622422,1.6981054133592468,64.72558814284204,2024-03-21,0.3317405405405405,37,positive
2024-03-22,94.25802612304688,94.7468638928685,90.8041593115699,91.11105766429952,586719000,90.0347383595419,89.80099182128906,2.2487028497055945,1.8082249006285165,64.60740563836977,2024-03-22,0.324001923076923,52,positive
2024-03-25,94.97078704833984,96.7342074446901,93.47928046219188,93.91013861786188,552136000,90.93220175750517,90.72348709106446,2.5113731580154592,1.9488545521059053,64.58682892881117,2024-03-25,0.2286256756756756,74,positive
2024-03-26,92.53058624267578,96.34333614885402,92.47160751849904,95.8195062336972,513648000,91.22281711844528,90.78826446533203,2.4938894531566405,2.0578615323160525,56.29133999664728,2024-03-26,0.2535416666666666,36,positive
2024-03-27,90.22034454345705,93.20935991690288,89.09371596526927,93.08140362412708,586067000,91.04054937753833,90.72448501586913,2.267478216042889,2.09978486906142,45.83318982052005,2024-03-27,0.2628052631578947,38,positive
